Counter,Value
PAPI_L1_ICM,7133
PAPI_L2_DCM,690672335
PAPI_L1_DCM,345713540
PAPI_L2_ICM,4160
PAPI_L1_TCM,345720673
PAPI_L2_TCM,690676495
PAPI_L3_TCM,155724514
PAPI_CA_SNP,99261192
PAPI_CA_SHR,346943176
PAPI_CA_CLN,507
PAPI_CA_ITV,19235531059
PAPI_L3_LDM,690672335
PAPI_TLB_DM,7133
PAPI_TLB_IM,4160
PAPI_L1_LDM,7133
PAPI_L1_STM,4160
PAPI_L2_LDM,690676495
PAPI_L2_STM,4077584750
PAPI_PRF_DM,0
PAPI_MEM_WCY,0
PAPI_STL_ICY,0
PAPI_FUL_ICY,0
PAPI_STL_CCY,0
PAPI_FUL_CCY,0
PAPI_BR_UCN,0
PAPI_BR_CN,0
PAPI_BR_TKN,0
PAPI_BR_NTK,0
PAPI_BR_MSP,0
PAPI_BR_PRC,0
PAPI_TOT_INS,140728093170256
PAPI_LD_INS,140072200042096
PAPI_SR_INS,722
PAPI_BR_INS,140072197930908
PAPI_RES_STL,0
PAPI_TOT_CYC,140072199473088
PAPI_LST_INS,26200848960
PAPI_L2_DCA,140072199426440
PAPI_L3_DCA,2
PAPI_L2_DCR,-9223372036854775794
PAPI_L3_DCR,0
PAPI_L2_DCW,0
PAPI_L3_DCW,0
PAPI_L2_ICH,0
PAPI_L2_ICA,0
PAPI_L3_ICA,0
PAPI_L2_ICR,140072199470816
PAPI_L3_ICR,140072199471296
PAPI_L2_TCA,140072199446144
PAPI_L3_TCA,140072199421592
PAPI_L2_TCR,0
PAPI_L3_TCR,140072199466624
PAPI_L2_TCW,140072199465280
PAPI_L3_TCW,140072197918003
PAPI_SP_OPS,140072199471296
PAPI_DP_OPS,140728093170256
PAPI_VEC_SP,140072199471296
PAPI_VEC_DP,6
PAPI_REF_CYC,68719476742
